# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
6,Flop,1,2,-2,CHECK,0,"['6d', '9h']","['6h', 'Ad']","['8s', '5d', '3s']",,2s,100,100
6,Turn,0,2,-2,CHECK,0,"['6d', '9h']","['6h', 'Ad']","['8s', '5d', '3s', '6s']",,2s,100,100
6,Turn,1,2,-2,CHECK,0,"['6d', '9h']","['6h', 'Ad']","['8s', '5d', '3s', '6s']",,2s,100,100
6,River,0,2,-2,CHECK,0,"['6d', '9h']","['6h', 'Ad']","['8s', '5d', '3s', '6s', '8h']",,2s,100,100
6,River,1,2,-2,CHECK,0,"['6d', '9h']","['6h', 'Ad']","['8s', '5d', '3s', '6s', '8h']",,2s,100,100
7,Pre-Flop,1,-98,98,CALL,0,"['5d', '9s']","['3h', '9h']","['5h', '6d']",,,1,1
7,Pre-Flop,0,-98,98,RAISE,98,"['5d', '9s']","['3h', '9h']","['5h', '6d']",,,2,2
7,Pre-Flop,1,-98,98,DISCARD,0,"['5d', '9s']","['3h', '9h']","['5h', '6d']",,,2,2
7,Pre-Flop,1,-98,98,FOLD,0,"['5d', '9s']","['3h', '2d']","['5h', '6d']",,9h,2,2
8,Pre-Flop,0,-96,96,RAISE,98,"['2h', '8s']","['5s', 'As']","['5h', '7d']",,,1,1
8,Pre-Flop,1,-96,96,CALL,0,"['2h', '8s']","['5s', 'As']","['5h', '7d']",,,2,2
8,Flop,0,-96,96,CHECK,0,"['2h', '8s']","['5s', 'As']","['5h', '7d', '2s']",,,100,100
8,Flop,1,-96,96,CHECK,0,"['2h', '8s']","['5s', 'As']","['5h', '7d', '2s']",,,100,100
8,Turn,0,-96,96,CHECK,0,"['2h', '8s']","['5s', 'As']","['5h', '7d', '2s', '3h']",,,100,100
8,Turn,1,-96,96,CHECK,0,"['2h', '8s']","['5s', 'As']","['5h', '7d', '2s', '3h']",,,100,100
8,River,0,-96,96,CHECK,0,"['2h', '8s']","['5s', 'As']","['5h', '7d', '2s', '3h', '6d']",,,100,100
8,River,1,-96,96,CHECK,0,"['2h', '8s']","['5s', 'As']","['5h', '7d', '2s', '3h', '6d']",,,100,100
9,Pre-Flop,1,-196,196,CALL,0,"['3h', 'As']","['8s', '2d']","['Ah', '2h']",,,1,1
9,Pre-Flop,0,-196,196,RAISE,98,"['3h', 'As']","['8s', '2d']","['Ah', '2h']",,,2,2
9,Pre-Flop,1,-196,196,DISCARD,0,"['3h', 'As']","['8s', '2d']","['Ah', '2h']",,,2,2
9,Pre-Flop,1,-196,196,FOLD,0,"['3h', 'As']","['3s', '2d']","['Ah', '2h']",,8s,2,2
10,Pre-Flop,0,-194,194,RAISE,98,"['5h', '2s']","['5s', '8s']","['7s', '8h']",,,1,1
10,Pre-Flop,1,-194,194,CALL,0,"['5h', '2s']","['5s', '8s']","['7s', '8h']",,,2,2
10,Flop,0,-194,194,CHECK,0,"['5h', '2s']","['5s', '8s']","['7s', '8h', '6d']",,,100,100
10,Flop,1,-194,194,CHECK,0,"['5h', '2s']","['5s', '8s']","['7s', '8h', '6d']",,,100,100
10,Turn,0,-194,194,CHECK,0,"['5h', '2s']","['5s', '8s']","['7s', '8h', '6d', '9s']",,,100,100
10,Turn,1,-194,194,CHECK,0,"['5h', '2s']","['5s', '8s']","['7s', '8h', '6d', '9s']",,,100,100
10,River,0,-194,194,CHECK,0,"['5h', '2s']","['5s', '8s']","['7s', '8h', '6d', '9s', '3h']",,,100,100
10,River,1,-194,194,CHECK,0,"['5h', '2s']","['5s', '8s']","['7s', '8h', '6d', '9s', '3h']",,,100,100
11,Pre-Flop,1,-194,194,CALL,0,"['5d', '7s']","['4d', '9h']","['5h', '6d']",,,1,1
11,Pre-Flop,0,-194,194,RAISE,98,"['5d', '7s']","['4d', '9h']","['5h', '6d']",,,2,2
11,Pre-Flop,1,-194,194,DISCARD,0,"['5d', '7s']","['4d', '9h']","['5h', '6d']",,,2,2
11,Pre-Flop,1,-194,194,FOLD,0,"['5d', '7s']","['4d', '4s']","['5h', '6d']",,9h,2,2
12,Pre-Flop,0,-192,192,RAISE,98,"['5s', '6s']","['9s', '3h']","['4h', '8d']",,,1,1
12,Pre-Flop,1,-192,192,DISCARD,0,"['5s', '6s']","['9s', '3h']","['4h', '8d']",,,2,2
12,Pre-Flop,1,-192,192,FOLD,0,"['5s', '6s']","['9s', '2h']","['4h', '8d']",,3h,2,2
13,Pre-Flop,1,-190,190,CALL,0,"['5d', '2h']","['9h', '4d']","['3s', '9s']",,,1,1
13,Pre-Flop,0,-190,190,RAISE,98,"['5d', '2h']","['9h', '4d']","['3s', '9s']",,,2,2
13,Pre-Flop,1,-190,190,DISCARD,0,"['5d', '2h']","['9h', '4d']","['3s', '9s']",,,2,2
13,Pre-Flop,1,-190,190,CALL,0,"['5d', '2h']","['9h', '8d']","['3s', '9s']",,4d,2,2
13,Flop,1,-190,190,CHECK,0,"['5d', '2h']","['9h', '8d']","['3s', '9s', '3h']",,4d,100,100
13,Flop,0,-190,190,CHECK,0,"['5d', '2h']","['9h', '8d']","['3s', '9s', '3h']",,4d,100,100
13,Turn,1,-190,190,CHECK,0,"['5d', '2h']","['9h', '8d']","['3s', '9s', '3h', '2s']",,4d,100,100
13,Turn,0,-190,190,CHECK,0,"['5d', '2h']","['9h', '8d']","['3s', '9s', '3h', '2s']",,4d,100,100
13,River,1,-190,190,CHECK,0,"['5d', '2h']","['9h', '8d']","['3s', '9s', '3h', '2s', '7s']",,4d,100,100
13,River,0,-190,190,CHECK,0,"['5d', '2h']","['9h', '8d']","['3s', '9s', '3h', '2s', '7s']",,4d,100,100
14,Pre-Flop,0,-290,290,RAISE,98,"['Ad', '5d']","['3s', '9h']","['Ah', '9d']",,,1,1
14,Pre-Flop,1,-290,290,DISCARD,0,"['Ad', '5d']","['3s', '9h']","['Ah', '9d']",,,2,2
14,Pre-Flop,1,-290,290,FOLD,0,"['Ad', '5d']","['3s', '2h']","['Ah', '9d']",,9h,2,2
15,Pre-Flop,1,-288,288,CALL,0,"['3h', '2h']","['6s', 'Ad']","['8h', '3s']",,,1,1
15,Pre-Flop,0,-288,288,RAISE,98,"['3h', '2h']","['6s', 'Ad']","['8h', '3s']",,,2,2
